iter	Passed	Remaining
0	0	66
1	1	59
2	1	54
3	2	51
4	2	51
5	3	52
6	3	52
7	4	52
8	5	54
9	6	55
10	6	56
11	7	55
12	8	55
13	8	54
14	9	54
15	10	53
16	10	52
17	11	52
18	12	51
19	12	50
20	13	49
21	13	49
22	14	48
23	15	47
24	15	47
25	16	46
26	16	45
27	17	45
28	18	44
29	18	43
30	19	42
31	19	42
32	20	41
33	21	41
34	21	40
35	22	40
36	23	39
37	23	39
38	24	38
39	25	37
40	25	37
41	25	35
42	26	35
43	27	34
44	27	33
45	28	33
46	29	32
47	29	32
48	30	31
49	31	31
50	31	30
51	32	29
52	32	29
53	33	28
54	33	27
55	34	27
56	35	26
57	35	25
58	36	25
59	37	24
60	38	24
61	38	23
62	39	23
63	39	22
64	40	21
65	41	21
66	41	20
67	42	19
68	43	19
69	43	18
70	44	18
71	44	17
72	45	16
73	46	16
74	47	15
75	47	15
76	48	14
77	49	13
78	49	13
79	50	12
80	51	11
81	51	11
82	52	10
83	53	10
84	53	9
85	54	8
86	54	8
87	55	7
88	56	6
89	56	6
90	57	5
91	58	5
92	58	4
93	59	3
94	60	3
95	61	2
96	62	1
97	63	1
98	64	0
99	64	0
